Date,Name,Tweets
2 feb.,Pablo Cantabria,"El problema no es los turistas, que suelen hacer el recorrido centro-sardinero. El problema sobre todo es la gente de la periferia que la han jodido pero bien. Hay que poner quejas, si da mucha pereza en papel, al menos por aquí: http://www.tusantander.es/acerca-tus/buzon-consultas …
#MetroTUS"
2 feb.,Pablo Cantabria,"Os animo a que ante cualquier queja o problema que surja con el nuevo #metrotus pidáis una hoja de reclamaciones al TUS o si eso os resulta engorroso, al menos pongáis la queja en este buzón on-line. Tienen que enterarse de la chapuza que han hecho. http://www.tusantander.es/acerca-tus/buzon-consultas …"
2 feb.,Sr. Carabox,"Visto lo visto evitar el actualizar la guía, quitarlo directamente. #metroTUS #SantanderSmartCity"
2 feb.,gema,"Actualizar las lineas de bus!!! Que ahora tenemos #MetroTUS ! Que como mis pobres esperen a alguna de las lineas que vienen ahí, no pasan del intercambiador. "
2 feb.,Pablo Rasines,La única respuesta que das que ya nos acostumbraremos y pedir paciencia. La gente no se acostumbrará ni tendrá paciencia a invertir el doble de tiempo (a veces más) en ir a trabajar o a sus casas ni a pasar frío porque a los políticos se les antoje @gemaigual #MetroTus #Santander
2 feb.,gema,"@gemaigual una duda respecto al #MetroTUS, si viviendo en peñacastillo, albericia o lluja, pagas con dinero, ya sea porque no tienes saldo en la tarjeta o porque no la tienes, Y en valdecilla tienes que cambiar de linea, porque acaban ahi ¿hay q volver a pagar 1,30€?"
2 feb.,COPE Cantabria,Un día después de la puesta en funcionamiento del #MetroTUS en #Santander el ayuntamiento asegura que las cosas van mucho mejor y se están solucionando pequeñas incidencias.pic.twitter.com/MjmV3jm7wQ
2 feb.,eldiariocantabria,SUCESOS | Herida una pasajera del #TUS tras colisionar el #autobus con un turismo #Trafico #Santander #MetroTUS http://www.eldiariocantabria.es/articulo/cantabria/herida-pasajera-tus-colisionar-autobus-turismo/20180202125534040301.html …
2 feb.,Roberto Martin,No se puede resumir mejor. #MetroTUS #chapuzahttps://twitter.com/GRuisanchez/status/959364258113998848 …
2 feb.,Emmanuel Gimeno,"#metroTUS a veces el diseño bien hecho ayuda a no perderse en una maraña nueva de intercambiadores .
¿Quién ha hecho el diseño de los planos y folletos del #metroTUS ?"
2 feb.,gema,"#MetroTUS  día 2: tengo que volver a cambiar de linea.... La linea 6 pasa antes, vamos a por el 1, a ver si llego bien."
2 feb.,101 cachetadas,"Añadid Cazoña.Nos dejan exactamente igual que antes.Estamos mejor comunicados que Peña, sí, pero en horas punta 7,30 a 8,30 sigue siendo un desastre #MetroTus"
2 feb.,101 cachetadas,Y este es el problema que persiste.En horas punta barrios periféricos misma frecuencia de mierda que siempre #MetroTUS pic.twitter.com/DAeuP2ySWY
2 feb.,Juanma,Comienzan los problemas en la primera carrera del metrotus Santander MC4 Honda. Solo pudo completar 4 vueltas en su estreno. #metrotus #smartsantander #monorrail #sisimonorailesloquenecesitamospic.twitter.com/cWpUhRwJUX
2 feb.,Anonymous,"Soy de Cantabria, he vivido y trabajado durante años en Santander y conozco más o menos bien la ciudad, pero si me dicen que el plano de #MetroTUS es de la ciudad de Nueva York me lo creo a pies juntillas...

@gemaigual"
2 feb.,Anonymous,¿Alguien ha pensado lo que habría pasado si el dinero del #MetroTus se hubiera invertido en aumentar las frecuencias de las líneas existentes? pic.twitter.com/Khu8xPg5DK
2 feb.,Anonymous,"Lo que pensaba @gemaigual que iba a ser el #MetroTus vs. la realidad de #Santander ayer. Mañana sucederá lo mismo. Y pasado,... No son problemas de habituación. Es una concepción errónea de ciudad, jugando con el pan de la gentepic.twitter.com/fBnta9eYNg"
Date,Name,Tweets
3 feb.,José Mario Graña,Con un clima tropical como hay en #Santander la peña pidiendo que los intercambiadores del #metroTUS estén protegidos y resguarden de la lluvia y el frío #vayatela
3 feb.,Manuel Cobo,Joven santanderino asegura haber asistido a la inauguración del Palacio de Festivales tras coger un bus enorme en el intercambiador de Valdecilla. #MetroTUS #SDR #Santander #StrangerThings #BacktotheFuture
3 feb.,Alberto Sanchez,Yo antes tardaba 5 minutos desde el pesquero a la Universidad con la línea 4 y sin transbordo. Ahora tardo 3 horas y media y necesito hacer 4 cambios de bus. #datos #cuñao #metroTUS
3 feb.,MarduK,"El que defienda lo del #metroTUS es por qué no lo tiene que utilizar. A los que lo utilizamos, nos han jodido pero bien."
3 feb.,ChiscoSN,"Las gitanas que reparten romero en el Pilar de Zaragoza, adaptando sus maldiciones a los nuevos tiempos:
""Ojalamén vayas a Santander y tengas que coger el #metroTUS !!"""
3 feb.,eldiario.esCantabria,"SANTANDER | Igual pide un ""poquito de paciencia"" con el Metro-TUS, en el que ya se solucionan las incidencias #MetroTUS http://eldiario.es/_2bde1dc7 pic.twitter.com/l8RwTIpil2"
3 feb.,Emmanuel Gimeno,"Ir en autobús no es para ir de paseo, es para ir sobretodo a trabajar. Las horas punta son complicadisimas Icon el nuevo #metrotus"
3 feb.,Capital del Pijerío,"Lo que sí que igual estamos empezando a echar de menos es al grupo de palmeros defendiendo el #MetroTUS, ¿no?"
3 feb.,Anonymous,"7 millones de euros en habilitar un carril específico para el #metroTUS, hacer dos intercambiadores sin tejado ni cubierta, y poner os buses articulados que te obligan a cambiar de bus si vas más allá del centro de la ciudad."
3 feb.,Capital del Pijerío,De verdad que ya no sabéis qué hacer para criticar el #MetroTUS... https://twitter.com/DiarioCantabria/status/959396289564856324 …
3 feb.,Pilar Vegaa,Y lo de #MetroTUS  por qué se llama así? igual por los túneles que pasa en #santander
3 feb.,Lara Martin,"Ayer, a las 14.40, así estaba la parada del ayuntamiento y así llegó el primer bus después de más de 15 minutos. Igual que cuando lo cogió usted a las 7.15 de la mañana, verdad? @gemaigual #MetroTUS pruebe a cogerlo en hora punta. pic.twitter.com/1ruei66QIX"
3 feb.,Anonymous,He entrado en el horizonte de sucesos que es la línea central del #MetroTUS y al salir de ella me parece haber visto a Matthew McConaughey vestido de astronauta. #STAY #SDR #Santander
3 feb.,Anonymous,"AYUDA, POR FAVOR. #MetroTUS #SDR #Santanderpic.twitter.com/aa6zjIAcVM"
Date,Name,Tweets
4 feb.,Anonymous,"Como se nota que nos sobra el €,esto y el #MetroTus.....#GrandesInversionespic.twitter.com/Gb7Jw91CY4"
Date,Name,Tweets
5 feb.,Anonymous,"El planteamiento era mejorable de raíz y eso se veía desde un primer momento. Al final, es solo un quiero y no puedo que no mejora la circulación de personas a lo largo de la ciudad sino todo lo contrario. Nada más que postura ineficiente, como se veía venir. #MetroTUS"
5 feb.,Ana,#MetroTUS Reunión el viernes 18:30h en el centro cívico de camarreal para afectados del Metro Tus de Peñacastillo
5 feb.,Anonymous,Vamos mal si de verdad piensas que el único problema es la falta de costumbre. #MetroTUS
5 feb.,Lara Martin,pues espero que les pongas coche privado a todos porque como tengan que coger el magnífico #MetroTUS .. 
5 feb.,gema,"Ya no es eso, es que antes utilizabas un autobús y ahora 2, y encima tardas mas tiempo en llegar a tu trabajo.
 Y la línea 2 a primera hora ni abre en jose Maria de cossio... Algo no esta bien en este #MetroTUS @gemaigual"
5 feb.,Ana,#MetroTUS Otro dia mas de perdida de tiempo para ir de Peñacastillo a la universidad. Yo puedo moverme bien. Alguien pensó en los abuelos de San Cándido.@gemaigual
5 feb.,Guillem Ruisánchez,"¿Miedo a restar votos? El PP en el #debateSDR #plenoSDR Motivos tienen: Anulación del PGOU y de la plusvalía, con consecuencias económicas graves. Derrumbe en Sol, incendio del MAS, sanción por contrataciones ilegales, ridículo en la promoción turística, la traca del #MetroTUS... https://twitter.com/gemaigual/status/960456025949327360 …"
5 feb.,Anonymous,"Y un carril específico que realmente afecta a dos kilómetros de los cinco con los que cuenta el trayecto total, no olvidemos. #MetroTUS"
5 feb.,Caperucita muy roja,"Muchos viajes espaciales pero no tienen narices de entender el plano de #MetroTUS. #gemasame, una visionaria.pic.twitter.com/HXNeNzCVdU"
Date,Name,Tweets
6 feb.,Elena Díaz,Otro día en el infierno del #MetroTUS  hoy no funciona ni  la App #atope #metrotuscaca #santander #estonifuncionabien
6 feb.,Ana,He decido q me bajo en Valdecilla y ando. #MetroTUS
6 feb.,Jesica Quintero,Mi primera experiencia en el #MetroTUS ha sido muy mala. En mi recorrido habitual de 10 minutos desde el Ayuntamiento de #Santander hoy he tardado 25... El bus llenísimo y la gente protestando.
6 feb.,Tomás Ortiz,@gemaigual ahora mismo en el intercambiador de valdecilla 60 personas esperando con frío y prisa y enfrente un Bus(LC) o #MetroTUS parado y el conductor leyendo el periódico y los que esperamos acordándonos de usted para mal
Date,Name,Tweets
7 feb.,eldiariocantabria,SANTANDER | @CCOOCantabria exige al Ayuntamiento que “asuma errores” y dé “marcha atrás” con el #MetroTUS http://www.eldiariocantabria.es/articulo/cantabria/ccoo-exige-ayuntamiento-asuma-errores-marcha-atras-metro-tus/20180207211217040552.html …
7 feb.,Anonymous,Mi destino diario. Según la alcaldesa me acostumbraré y veré las ventajas de perder tiempo y pasar frío. #MetroTUS #Santanderpic.twitter.com/Cv1eV1ggfZ
7 feb.,Mesas de Movilidad,#MetroTus @gemaigual estamos totalmente de acuerdohttp://www.eldiario.es/norte/cantabria/ultima-hora/CCOO-Ayuntamiento-errores-marcha-Metro-TUS_0_737726702.html …
7 feb.,peich,"4.Por otra parte,  el funcionamiento NEFASTO, al menos la línea 3. y el intercambiador de Valdecilla ideal para coger una pulmonía. Para esto no es necesario tener carrera. #MetroTUS @gemaigual"
7 feb.,peich,"3-de nada sirvieron mis quejas, tuve que abonar otro billete 1.30€ VERGONZOSO.  @gemaigual  Ya está bien de reírse del ciudadano, no se quien se inventó esta norma, pero seguro que lo gana muy fácil.  #MetroTUS"
7 feb.,peich,"1- Mi experiencia en el  #MetroTUS PENOSA. Llega el autobús  a la parada de El Empalme, Peñacastillo, tras media hora de reloj de espera, saco mi billete, 1,30€, llego a Valdecilla y subo a bordo de otro autobús que me lleve al centro, línea 1,  muestro mi billete al conductor."
7 feb.,gema,En esto de que pierdes la linea 1y 2 porque SIEMPRE pasan a la vez y te toca esperar 15 min #metrotus #mejorandolascomunicaciones 
7 feb.,101 cachetadas,Querida @gemaigual un detallito para las necesarias mejoras del #metroTus: tú crees que con esta frecuencia interesa coger bus para ir al centro? A trabajar eh? No a pasear...#consejito#desdelavergüenza pic.twitter.com/WDr5PDd4fj
Date,Name,Tweets
8 feb.,Guillem Ruisánchez,"Y en la primera semana de funcionamiento del #MetroTus, es de suponer que en tareas de información y sensibilización, la policía va y pone dos multas a taxistas que en principio siguieron las instrucciones del Ayuntamiento. Vaya caos #Santander"
8 feb.,Guillem Ruisánchez,Sobre las multas a los taxistas por parar en el #MetroTUS (que tiene pintado bien grande TAXI) para que se bajen los usuarios. Conviene leer la información que trasladó el equipo de Gobierno del PP a los taxistas el 28/11 (Leer hasta el último párrafo) http://santander.es/noticia/ayuntamiento-explica-taxistas-nueva-red-transporte-del-tus-carril-rapido …pic.twitter.com/Wc3J1DYznx
8 feb.,CiberIsthar,"#MetroTUS #Santander @gemaigual incómodo, mal organizado, rutas repetidas y otras inexistentes... Olé! Otra castaña de esta ciudad!!"
8 feb.,Tomás Ortiz,"La calle alta frente a Lupa el número 52 es una fiesta..camiónes,furgonetas,..y encima la calle muy sucia,todo un caos y policía mirando para otro sitio bueno mirando únicamente al carril del #MetroTus"
8 feb.,Tomás Ortiz,Caro nos va salir el #MetroTus a los santanderinos si hay que seguir haciendo paradas.El MetroTus va ser la tumba política de Equal Gem #salvarlacasadesocorro
8 feb.,eldiariocantabria,SANTANDER | Primeras #multas para los taxistas por parar en el #MetroTUS para dejar pasajeros #taxis @psoesantander @prcsantanderhttp://www.eldiariocantabria.es/articulo/cantabria/primeras-multas-taxistas-parar-metro-tus-dejar-pasajeros/20180208202112040591.html …
8 feb.,Ana,Me dan ganas de comprarme un coche. Esto es desesperante. #MetroTUS
8 feb.,Pablo Rasines,Coincidencias cojonudas cuando aún vamos por Pereda #MetroTus @gemaigualpic.twitter.com/QWZr25EzWT
